TimeStamp,sleep_stage,sleep_stage_int,confidence,epoch
7165.5196,R,4,0.6669271106323824,238
7195.5196,W,0,0.966083507625737,239
7225.5196,R,4,0.35128413524149443,240
7255.5196,W,0,0.666595521140158,241
7285.5196,W,0,0.34859166121237395,242
7315.5196,N1,1,0.46237697256478827,243
7345.5196,N1,1,0.6865455069136251,244
7375.5196,N2,2,0.6511803414407682,245
7405.5196,N2,2,0.9083150608960259,246
7435.5196,N2,2,0.8892810090725372,247
7465.5196,N2,2,0.9648349931827963,248
7495.5196,N2,2,0.9618414932974843,249
7525.5196,N2,2,0.9215491942501878,250
7555.5196,N2,2,0.9639945855558294,251
7585.5196,N2,2,0.9540093486715082,252
7615.5196,N2,2,0.9628993320711465,253
7645.5196,N2,2,0.9296188356828563,254
7675.5196,N2,2,0.9667842253394859,255
7705.5196,N2,2,0.9081603062822079,256
7735.5196,N2,2,0.9336203788586601,257
7765.5196,N2,2,0.8418314072375874,258
7795.5196,N2,2,0.9132227162805505,259
7825.5196,N2,2,0.8615688578177315,260
7855.5196,N2,2,0.7754847674447974,261
7885.5196,N2,2,0.8190464216233263,262
7915.5196,N2,2,0.8248227044675684,263
7945.5196,N2,2,0.5765996515956275,264
7975.5196,N3,3,0.5488140288598128,265
8005.5196,N2,2,0.7833986977963446,266
8035.5196,N2,2,0.53254493499707,267
8065.5196,N3,3,0.6525093756430337,268
8095.5196,N2,2,0.5357998869744566,269
8125.5196,N3,3,0.7387569018390417,270
8155.5196,N3,3,0.7164037588848255,271
8185.5196,N3,3,0.7969085160587354,272
8215.5196,N3,3,0.6272783824554038,273
8245.5196,N3,3,0.6397820916024614,274
8275.5196,N3,3,0.6681664470323238,275
8305.5196,N3,3,0.747408877264066,276
8335.5196,N3,3,0.8270542131916229,277
8365.5196,N3,3,0.751239972080854,278
8395.5196,N3,3,0.8357243730776842,279
8425.5196,N3,3,0.8383840219763927,280
8455.5196,N3,3,0.8081396758405761,281
8485.5196,N3,3,0.8856790400904804,282
8515.5196,N3,3,0.9011314400905638,283
8545.5196,N3,3,0.9348476297639801,284
8575.5196,N3,3,0.9135369954053857,285
8605.5196,N3,3,0.9253303117322224,286
8635.5196,N3,3,0.9555641537417566,287
8665.5196,N3,3,0.9377048211290254,288
8695.5196,N3,3,0.9743627552792957,289
8725.5196,N3,3,0.9263938379296374,290
8755.5196,N3,3,0.9218954306298658,291
8785.5196,N3,3,0.897583002737647,292
8815.5196,N3,3,0.8364893158524064,293
8845.5196,N3,3,0.891029229673156,294
8875.5196,N3,3,0.8828922666039587,295
8905.5196,N3,3,0.8411378438398814,296
8935.5196,N3,3,0.8741546437999823,297
8965.5196,N3,3,0.881603737665854,298
8995.5196,N3,3,0.9083024742078356,299
9025.5196,N3,3,0.9277205230087484,300
9055.5196,N3,3,0.9344100408996697,301
9085.5196,N3,3,0.9377952217312963,302
9115.5196,N3,3,0.9369450267439017,303
9145.5196,N3,3,0.9444272871955242,304
9175.5196,N3,3,0.9732571008981113,305
9205.5196,N3,3,0.9561886936827408,306
9235.5196,N3,3,0.9548311963422552,307
9265.5196,N3,3,0.9707890467824816,308
9295.5196,N3,3,0.9723255389205707,309
9325.5196,N3,3,0.9899365034497479,310
9355.5196,N3,3,0.9820019901112542,311
9385.5196,N3,3,0.9764281070731756,312
9415.5196,N3,3,0.9845307218014131,313
9445.5196,N3,3,0.9813488792235274,314
9475.5196,N3,3,0.9793770291889048,315
9505.5196,N3,3,0.9826181604607613,316
9535.5196,N3,3,0.9783132827108856,317
9565.5196,N3,3,0.9465829907473101,318
9595.5196,N3,3,0.9641235657501408,319
9625.5196,N3,3,0.9534449791843018,320
9655.5196,N3,3,0.9240775290591241,321
9685.5196,N3,3,0.9676028640825876,322
9715.5196,N3,3,0.9636403644610226,323
9745.5196,N3,3,0.9414652266849679,324
9775.5196,N3,3,0.9251804131153357,325
9805.5196,N3,3,0.9506448079486035,326
9835.5196,N3,3,0.9790279470121012,327
9865.5196,N3,3,0.9760941286521096,328
9895.5196,N3,3,0.9687877654545966,329
9925.5196,N3,3,0.980385810112325,330
9955.5196,N3,3,0.9352808090954057,331
9985.5196,N3,3,0.9740387476380123,332
10015.5196,W,0,0.6225803084802846,333
10045.5196,W,0,0.9825732197960712,334
10075.5196,W,0,0.9806622837637785,335
10105.5196,W,0,0.9773478874349125,336
10135.5196,W,0,0.7443876463089276,337
10165.5196,N2,2,0.4481612755273897,338
10195.5196,N2,2,0.6781149446779335,339
10225.5196,N2,2,0.7462623392953248,340
10255.5196,N2,2,0.5862251637136523,341
10285.5196,N2,2,0.761360237540676,342
10315.5196,N2,2,0.7812799759247395,343
10345.5196,N3,3,0.5315507086454749,344
10375.5196,N3,3,0.5450822147016917,345
10405.5196,N3,3,0.7084609360864413,346
10435.5196,N3,3,0.6529337661246322,347
10465.5196,N3,3,0.6879264068407411,348
10495.5196,N3,3,0.803797059179834,349
10525.5196,N3,3,0.9031521587254983,350
10555.5196,N3,3,0.9484824513389764,351
10585.5196,N3,3,0.9082016343454996,352
10615.5196,N3,3,0.9544099003263907,353
10645.5196,N3,3,0.8687774890318044,354
10675.5196,N3,3,0.9501114295525699,355
10705.5196,N3,3,0.918671867670463,356
10735.5196,N3,3,0.4447596482735713,357
10765.5196,W,0,0.4523253252654165,358
10795.5196,N2,2,0.4371201362537809,359
10825.5196,W,0,0.6176044687587942,360
10855.5196,N2,2,0.44923224178658294,361
10885.5196,W,0,0.4338057909328534,362
10915.5196,W,0,0.7618310248369826,363
10945.5196,W,0,0.6721142327861352,364
10975.5196,W,0,0.9027511613522766,365
11005.5196,W,0,0.9105234285871238,366
11035.5196,N2,2,0.5091279658417067,367
11065.5196,W,0,0.49592752486084,368
11095.5196,W,0,0.4588713127278517,369
11125.5196,W,0,0.4428717682828628,370
11155.5196,N2,2,0.49074621116717465,371
11185.5196,W,0,0.44981075203827525,372
11215.5196,N2,2,0.5511743313810822,373
11245.5196,N2,2,0.48071600926312014,374
11275.5196,N2,2,0.6075005860049401,375
11305.5196,N2,2,0.4939707268631571,376
11335.5196,N2,2,0.44839589252387313,377
11365.5196,N2,2,0.49883383942728443,378
11395.5196,N2,2,0.5723330656409802,379
11425.5196,N2,2,0.7008064762589983,380
11455.5196,N2,2,0.6706973576422128,381
11485.5196,N2,2,0.8374571065186911,382
11515.5196,N2,2,0.7670436160469585,383
11545.5196,N2,2,0.6549290735703861,384
11575.5196,N2,2,0.7213054739433739,385
11605.5196,N2,2,0.5735300036578918,386
