TimeStamp, ax, ay, az, gx, gy, gz, mx, my, mz 
hh:mm:ss, mg/LSB, mg/LSB, mg/LSB, mdps/LSB, mdps/LSB, mdps/LSB, mgauss/LSB, mgauss/LSB, mgauss/LSB
19956380,-753,191,16888,34,-102,-98,-255,28,-209
19956880,-775,193,16906,48,-125,-100,-252,34,-201
19957380,-751,203,16894,37,-122,-103,-250,39,-194
19957880,-772,215,16849,52,-136,-112,-249,37,-193
19958380,-791,224,16846,46,-111,-105,-263,31,-205
19958880,-752,242,16896,65,-132,-104,-263,30,-202
19959380,-771,225,16900,44,-114,-101,-240,31,-198
19959880,-740,186,16883,45,-114,-100,-246,35,-202
19960380,-761,182,16866,50,-113,-92,-249,35,-186
19960880,-797,187,16859,42,-115,-101,-250,32,-205
19961380,-758,218,16873,54,-110,-94,-261,37,-198
19961880,-765,191,16873,45,-111,-96,-246,26,-204
19962380,-743,219,16888,44,-117,-87,-244,30,-186
19962880,-758,204,16895,38,-111,-100,-255,33,-198
19963380,-802,189,16850,51,-110,-98,-253,36,-194
19963880,-777,214,16862,49,-109,-104,-249,36,-192
19964380,-776,204,16910,41,-125,-95,-253,32,-190
19964880,-787,216,16895,49,-118,-87,-256,33,-204
19965380,-752,232,16904,40,-114,-112,-251,29,-193
19965880,-751,212,16899,40,-120,-110,-239,36,-192
19966380,-763,241,16848,51,-121,-105,-261,44,-202
19966880,-788,212,16857,44,-113,-107,-253,35,-210
19967380,-768,244,16900,54,-115,-87,-253,38,-197
19967880,-706,247,16912,48,-117,-96,-244,33,-192
19968380,-752,199,16880,51,-109,-100,-257,29,-204
19968880,-773,194,16894,35,-109,-97,-246,35,-209
19969380,-743,233,16859,40,-102,-102,-258,36,-201
19969880,-752,221,16902,54,-118,-114,-246,37,-189
19970380,-803,228,16883,36,-112,-107,-257,37,-194
19970880,-794,227,16880,51,-115,-85,-247,43,-197
19971380,-733,204,16896,41,-99,-97,-255,34,-196
19971880,-754,208,16910,33,-113,-102,-248,36,-194
19972380,-751,242,16882,50,-121,-104,-237,41,-213
19972880,-743,212,16863,47,-133,-105,-254,28,-196
19973380,-750,212,16902,34,-117,-98,-259,34,-207
19973880,-785,184,16878,46,-122,-104,-261,37,-210
19974380,-775,243,16887,39,-101,-98,-240,30,-208
19974880,-794,220,16884,37,-102,-95,-257,38,-192
19975380,-768,208,16888,39,-97,-111,-265,36,-200
19975880,-749,191,16888,47,-120,-100,-258,36,-202
19976380,-746,227,16881,38,-104,-95,-251,28,-207
19976880,-741,208,16901,48,-117,-97,-251,39,-203
19977380,-763,244,16905,42,-118,-106,-261,39,-206
19977880,-780,207,16845,31,-99,-93,-255,41,-211
19978380,-800,220,16907,45,-117,-100,-258,28,-202
19978880,-804,218,16921,42,-113,-93,-259,30,-194
19979380,-794,223,16895,52,-127,-92,-244,36,-202
19979880,-755,226,16865,48,-125,-110,-250,30,-199
19980380,-760,214,16901,48,-111,-89,-254,39,-203
