TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
163676.1108,235.216,961.299,36.417,1968.75,-3587.5,1120.0,-551.76,860.32,291.84
163676.1609,239.73,965.813,33.855,1697.5,-3228.75,-43.75,-571.52,857.28,279.68
163676.211,234.301,970.449,34.038,1417.5,-2896.25,-113.75,-574.56,881.6,297.92
163676.2611,236.07,962.641,28.609,2695.0,-4558.75,1023.75,-577.6,866.4,297.92
163676.3112,241.133,969.717,25.986,1610.0,-3858.75,297.5,-553.28,877.04,294.88
163676.3614,231.617,967.399,30.256,1417.5,-2432.5,717.5,-571.52,874.0,299.44
163676.4115,237.046,963.251,25.986,2371.25,-3491.25,883.75,-560.88,881.6,299.44
163676.4616,236.863,968.558,26.901,1400.0,-2651.25,498.75,-556.32,864.88,300.96
163676.5117,234.728,966.545,30.256,1496.25,-2791.25,437.5,-568.48,863.36,296.4
163676.5618,235.948,968.131,35.075,1443.75,-3246.25,918.75,-570.0,875.52,284.24
163676.6119,237.046,962.946,36.234,1023.75,-3403.75,551.25,-565.44,858.8,281.2
163676.662,235.46,965.691,34.099,1837.5,-2380.0,210.0,-557.84,870.96,285.76
163676.7121,234.301,968.436,32.696,1951.25,-3045.0,595.0,-571.52,863.36,307.04
163676.7622,236.741,964.227,30.866,1863.75,-3578.75,770.0,-570.0,855.76,293.36
163676.8123,235.216,968.131,27.511,1382.5,-3552.5,752.5,-570.0,855.76,294.88
163676.8625,237.961,965.386,29.097,1723.75,-2196.25,805.0,-574.56,860.32,297.92
163676.9125,235.826,972.279,32.818,603.75,-2677.5,-52.5,-566.96,866.4,281.2
163676.9626,237.656,963.861,33.428,1260.0,-3045.0,481.25,-559.36,858.8,282.72
163677.0127,237.046,961.055,31.72,1452.5,-3167.5,376.25,-570.0,866.4,275.12
163677.0628,231.983,974.536,29.951,-586.25,-2082.5,-306.25,-562.4,858.8,305.52
163677.113,230.763,963.922,36.478,-516.25,-4130.0,1076.25,-565.44,866.4,297.92
163677.1631,233.874,967.216,39.223,2152.5,-4086.25,901.25,-556.32,864.88,281.2
163677.2132,234.24,965.752,37.576,2371.25,-953.75,8.75,-571.52,867.92,290.32
163677.2633,225.639,964.166,37.881,2633.75,-3150.0,1128.75,-570.0,858.8,291.84
163677.3134,238.998,969.717,34.16,1321.25,-4007.5,1085.0,-566.96,874.0,296.4
163677.3635,232.41,964.288,35.685,1041.25,-3132.5,437.5,-566.96,863.36,287.28
163677.4136,232.166,968.314,36.722,1723.75,-2922.5,560.0,-573.04,863.36,291.84
163677.4637,234.789,964.166,39.345,1470.0,-3526.25,997.5,-560.88,872.48,287.28
163677.5138,235.033,967.338,38.43,2038.75,-2493.75,393.75,-562.4,864.88,304.0
163677.5639,235.948,966.24,35.502,2458.75,-2957.5,455.0,-560.88,863.36,290.32
163677.614,236.192,965.081,35.258,1767.5,-3430.0,813.75,-574.56,866.4,287.28
163677.6641,241.621,965.752,36.356,840.0,-2345.0,603.75,-562.4,867.92,287.28
163677.7142,233.813,966.85,41.541,1286.25,-2563.75,288.75,-563.92,863.36,288.8
163677.7643,233.264,968.253,34.404,3062.5,-2065.0,-761.25,-557.84,870.96,285.76
163677.8145,224.602,975.634,35.624,498.75,-4786.25,218.75,-563.92,863.36,273.6
163677.8646,232.959,968.619,38.857,341.25,-3972.5,1540.0,-573.04,858.8,287.28
163677.9147,235.643,956.48,42.151,1111.25,-3263.75,866.25,-570.0,867.92,282.72
163677.9648,232.593,975.512,41.358,2397.5,-1452.5,140.0,-571.52,880.08,287.28
163678.0149,226.92,968.741,43.371,1951.25,-3596.25,1067.5,-570.0,866.4,290.32
163678.065,231.678,967.216,40.748,2835.0,-3613.75,1163.75,-568.48,869.44,294.88
163678.1151,238.388,964.959,32.513,2231.25,-2021.25,376.25,-570.0,849.68,302.48
163678.1652,234.24,965.935,33.733,2135.0,-2931.25,1137.5,-577.6,852.72,297.92
163678.2153,234.301,967.155,41.358,1400.0,-3062.5,918.75,-562.4,870.96,293.36
163678.2654,234.24,965.874,37.698,1443.75,-2747.5,1023.75,-571.52,864.88,287.28
163678.3155,236.558,966.423,36.722,1662.5,-3351.25,1076.25,-568.48,861.84,305.52
163678.3656,240.035,967.155,37.027,1426.25,-2966.25,586.25,-565.44,867.92,288.8
163678.4157,232.898,964.532,38.064,1155.0,-3036.25,105.0,-565.44,874.0,291.84
163678.4658,232.654,967.216,40.321,1837.5,-2607.5,253.75,-571.52,877.04,291.84
163678.5159,229.665,969.412,42.273,1155.0,-4655.0,665.0,-556.32,858.8,293.36
163678.566,231.739,966.179,34.892,2047.5,-4558.75,778.75,-568.48,867.92,284.24
163678.6162,240.462,963.861,37.576,1898.75,-3036.25,910.0,-566.96,867.92,296.4
163678.6663,232.288,970.388,41.236,1653.75,-1330.0,595.0,-574.56,869.44,288.8
163678.7164,235.704,965.935,39.955,1452.5,-3430.0,997.5,-568.48,874.0,291.84
163678.7665,233.081,962.702,41.541,2213.75,-3990.0,1312.5,-571.52,861.84,288.8
163678.8166,236.07,969.046,41.419,1671.25,-2826.25,122.5,-565.44,863.36,313.12
163678.8667,234.179,967.521,37.82,1732.5,-4112.5,988.75,-559.36,874.0,284.24
163678.9168,235.948,963.434,34.953,2318.75,-3771.25,1225.0,-571.52,852.72,284.24
163678.9669,238.693,969.961,35.807,1776.25,-3491.25,673.75,-563.92,860.32,278.16
163679.017,229.177,964.593,38.308,1863.75,-3675.0,927.5,-570.0,863.36,302.48
163679.0671,234.362,964.471,39.04,2222.5,-3675.0,813.75,-562.4,867.92,290.32
163679.1172,236.741,966.789,38.857,1548.75,-3115.0,726.25,-560.88,866.4,290.32
163679.1673,235.521,966.179,38.003,2555.0,-2966.25,446.25,-568.48,878.56,294.88
163679.2174,235.704,966.118,38.064,2091.25,-3351.25,752.5,-563.92,867.92,297.92
163679.2675,235.582,968.436,40.626,1548.75,-3263.75,656.25,-566.96,872.48,285.76
163679.3176,234.057,968.192,41.48,1890.0,-3885.0,498.75,-574.56,880.08,296.4
163679.3677,233.996,964.166,34.831,2590.0,-3727.5,498.75,-562.4,863.36,284.24
163679.4179,234.423,963.312,35.807,2073.75,-3220.0,463.75,-568.48,883.12,284.24
163679.468,235.826,973.194,37.515,796.25,-3876.25,1198.75,-568.48,864.88,293.36
163679.5181,234.789,966.423,35.807,796.25,-2773.75,157.5,-559.36,880.08,307.04
163679.5682,234.728,964.349,41.846,2047.5,-2887.5,735.0,-565.44,861.84,290.32
163679.6183,233.874,967.094,39.04,1732.5,-3263.75,490.0,-574.56,864.88,284.24
163679.6684,232.349,969.29,39.833,1137.5,-3211.25,411.25,-577.6,857.28,287.28
163679.7185,236.192,964.349,38.796,1758.75,-3815.0,1085.0,-566.96,867.92,305.52
163679.7686,240.401,967.094,39.101,1172.5,-3648.75,192.5,-565.44,878.56,293.36
163679.8187,229.421,967.582,40.077,1618.75,-2091.25,341.25,-570.0,866.4,288.8
163679.8688,233.508,965.813,39.955,1951.25,-3683.75,700.0,-562.4,874.0,297.92
163679.9189,231.373,967.399,40.199,1540.0,-2607.5,507.5,-565.44,857.28,299.44
163679.969,233.386,964.532,39.467,1907.5,-3263.75,516.25,-553.28,861.84,279.68
163680.0191,236.924,968.68,41.114,1811.25,-2983.75,691.25,-565.44,857.28,307.04
163680.0692,233.691,966.423,39.65,1303.75,-2765.0,227.5,-562.4,861.84,291.84
163680.1193,231.068,967.399,42.883,1321.25,-3307.5,227.5,-563.92,880.08,291.84
163680.1695,231.739,969.168,38.552,1575.0,-3876.25,315.0,-565.44,866.4,293.36
163680.2196,230.458,964.166,41.907,2012.5,-3281.25,105.0,-566.96,870.96,287.28
163680.2697,234.301,966.057,41.48,1207.5,-4077.5,752.5,-554.8,870.96,287.28
163680.3198,236.131,968.558,40.809,778.75,-2458.75,805.0,-565.44,869.44,299.44
163680.3699,229.482,969.9,44.713,1242.5,-2537.5,341.25,-563.92,860.32,291.84
163680.42,230.031,967.033,41.236,2406.25,-2423.75,1496.25,-557.84,867.92,296.4
163680.4701,237.168,964.654,41.541,1557.5,-2782.5,376.25,-554.8,874.0,281.2
163680.5202,226.31,969.107,43.859,971.25,-3053.75,227.5,-571.52,875.52,282.72
163680.5703,232.715,965.325,43.981,1461.25,-4077.5,997.5,-562.4,870.96,284.24
163680.6204,231.251,969.595,39.101,2135.0,-3920.0,367.5,-554.8,858.8,284.24
163680.6705,227.713,967.033,43.554,1741.25,-2800.0,1041.25,-562.4,858.8,278.16
163680.7206,228.323,965.142,44.286,1933.75,-3150.0,1102.5,-559.36,870.96,294.88
163680.7707,230.702,968.924,42.639,1662.5,-3578.75,918.75,-560.88,857.28,287.28
163680.8208,236.009,964.166,39.65,1750.0,-3018.75,1023.75,-571.52,861.84,279.68
163680.8709,234.423,968.619,40.565,2021.25,-2047.5,735.0,-556.32,855.76,278.16
163680.9211,233.02,967.277,41.724,1618.75,-2843.75,796.25,-562.4,866.4,304.0
163680.9712,232.654,967.216,37.759,1601.25,-3141.25,551.25,-570.0,867.92,291.84
163681.0213,230.519,971.425,43.31,1995.0,-3605.0,385.0,-565.44,870.96,282.72
163681.0714,228.75,968.558,40.626,1758.75,-3648.75,840.0,-568.48,861.84,290.32
163681.1215,231.556,966.423,38.369,2257.5,-2327.5,980.0,-559.36,875.52,294.88
163681.1716,234.484,964.959,38.186,1303.75,-1916.25,603.75,-557.84,864.88,291.84
163681.2217,228.567,973.377,43.737,1303.75,-2940.0,1207.5,-562.4,858.8,290.32
163681.2718,236.009,967.582,44.652,831.25,-3998.75,883.75,-562.4,861.84,296.4
163681.3219,230.885,958.615,46.848,2555.0,-2756.25,927.5,-556.32,858.8,305.52
163681.372,233.02,967.582,43.127,2747.5,-2861.25,638.75,-562.4,861.84,297.92
163681.4221,229.97,968.131,43.127,1085.0,-2826.25,612.5,-560.88,866.4,285.76
163681.4722,232.288,966.423,40.077,1741.25,-3876.25,1102.5,-562.4,875.52,291.84
163681.5223,236.619,970.144,38.857,2318.75,-4068.75,1216.25,-557.84,872.48,296.4
163681.5724,230.702,964.532,36.112,1977.5,-2607.5,1216.25,-554.8,866.4,287.28
163681.6225,229.787,965.02,43.493,2187.5,-3097.5,988.75,-559.36,860.32,291.84
163681.6726,238.388,968.558,38.979,1960.0,-2940.0,1041.25,-571.52,874.0,287.28
163681.7228,230.702,964.288,40.443,1723.75,-2450.0,603.75,-570.0,867.92,299.44
163681.7729,230.885,966.24,43.615,1986.25,-2835.0,805.0,-559.36,872.48,288.8
163681.823,236.131,965.752,42.029,1618.75,-3683.75,1111.25,-565.44,874.0,297.92
163681.8731,232.593,966.179,43.005,2520.0,-2528.75,183.75,-570.0,863.36,287.28
163681.9232,233.203,966.606,40.931,2187.5,-3228.75,411.25,-562.4,867.92,288.8
163681.9733,234.972,969.717,39.711,1863.75,-3858.75,516.25,-573.04,870.96,294.88
