TimeStamp, ax, ay, az, gx, gy, gz, mx, my, mz 
hh:mm:ss, mg/LSB, mg/LSB, mg/LSB, mdps/LSB, mdps/LSB, mdps/LSB, mgauss/LSB, mgauss/LSB, mgauss/LSB
5956682,7.381,2.6229999999999998,-1003.877,-752.5,831.25,1163.75,0.0,0.0,0.0
5957170,9.76,5.551,-1008.879,-901.25,761.25,1128.75,0.0,0.0,0.0
5957670,2.074,4.758,-1003.816,-892.5,936.25,1172.5,0.0,0.0,0.0
5958170,13.42,-0.976,-1000.5219999999999,-700.0,735.0,1242.5,0.0,0.0,0.0
5958670,1.525,2.44,-999.424,-927.5,883.75,1163.75,0.0,0.0,0.0
5959170,14.578999999999999,2.257,-1002.413,-700.0,761.25,1233.75,0.0,0.0,0.0
5959670,1.952,2.867,-1002.047,-901.25,717.5,1260.0,0.0,0.0,0.0
5960268,11.163,4.575,-1003.694,-918.75,831.25,1198.75,0.0,0.0,0.0
5960683,0.732,3.538,-999.912,-971.25,586.25,1137.5,0.0,0.0,0.0
5961170,11.346,3.477,-1004.731,-831.25,630.0,1338.75,0.0,0.0,0.0
5961670,-2.806,-0.854,-1006.744,-1023.75,700.0,1146.25,0.0,0.0,0.0
5962170,12.687999999999999,0.305,-1002.718,-761.25,962.5,1338.75,0.0,0.0,0.0
5962670,0.305,7.2589999999999995,-999.973,-901.25,805.0,1260.0,0.0,0.0,0.0
5963170,11.102,2.806,-1002.413,-831.25,770.0,1260.0,0.0,0.0,0.0
5963670,0.61,5.551,-1003.023,-892.5,883.75,1190.0,0.0,0.0,0.0
5964269,11.407,-2.013,-1000.095,-883.75,787.5,1198.75,0.0,0.0,0.0
5964686,0.0,5.3069999999999995,-1004.914,-997.5,735.0,1172.5,0.0,0.0,0.0
5965170,12.261,2.1959999999999997,-1004.06,-831.25,848.75,1277.5,0.0,0.0,0.0
5965670,2.867,7.015,-1003.755,-945.0,901.25,1347.5,0.0,0.0,0.0
5966170,14.517999999999999,1.342,-1003.938,-726.25,988.75,1172.5,0.0,0.0,0.0
5966670,3.843,6.588,-998.814,-892.5,778.75,1233.75,0.0,0.0,0.0
5967170,13.786,1.403,-997.716,-638.75,708.75,1277.5,0.0,0.0,0.0
5967670,8.783999999999999,3.5989999999999998,-1011.929,-813.75,927.5,1365.0,0.0,0.0,0.0
5968170,11.895,8.113,-1001.62,-638.75,778.75,1400.0,0.0,0.0,0.0
5968670,3.965,1.769,-996.191,-892.5,743.75,1242.5,0.0,0.0,0.0
5969170,15.006,6.588,-1005.463,-735.0,813.75,1260.0,0.0,0.0,0.0
5969670,1.5859999999999999,6.039,-1004.6089999999999,-1006.25,708.75,1233.75,0.0,0.0,0.0
5970170,8.661999999999999,3.233,-1002.596,-743.75,918.75,1155.0,0.0,0.0,0.0
5970768,4.3919999999999995,5.368,-1001.193,-936.25,848.75,1277.5,0.0,0.0,0.0
5971183,11.773,1.952,-1001.925,-761.25,700.0,1260.0,0.0,0.0,0.0
5971670,7.503,7.686,-1003.328,-770.0,866.25,1198.75,0.0,0.0,0.0
5972170,7.93,4.087,-1001.01,-805.0,892.5,1277.5,0.0,0.0,0.0
5972670,3.233,7.869,-1003.145,-927.5,840.0,1111.25,0.0,0.0,0.0
5973170,6.649,3.294,-1001.986,-770.0,927.5,1198.75,0.0,0.0,0.0
5973670,8.722999999999999,5.673,-1001.193,-971.25,945.0,1181.25,0.0,0.0,0.0
5974170,7.747,0.915,-999.5459999999999,-892.5,595.0,1295.0,0.0,0.0,0.0
5974770,5.917,6.343999999999999,-1000.034,-936.25,848.75,1356.25,0.0,0.0,0.0
5975186,5.185,2.6229999999999998,-1004.121,-595.0,813.75,1382.5,0.0,0.0,0.0
5975670,7.015,8.418,-1006.3779999999999,-883.75,770.0,1102.5,0.0,0.0,0.0
5976170,6.832,4.575,-1005.463,-848.75,778.75,1277.5,0.0,0.0,0.0
5976670,6.954,4.819,-1003.328,-883.75,875.0,1435.0,0.0,0.0,0.0
5977170,4.27,1.769,-1000.7049999999999,-796.25,673.75,1085.0,0.0,0.0,0.0
5977670,9.455,3.233,-1000.949,-866.25,796.25,1190.0,0.0,0.0,0.0
5978170,7.991,2.318,-1001.4979999999999,-875.0,752.5,1268.75,0.0,0.0,0.0
5978769,6.2219999999999995,5.49,-1000.766,-1015.0,857.5,1225.0,0.0,0.0,0.0
5979185,5.2459999999999996,4.026,-1004.2429999999999,-813.75,822.5,1268.75,0.0,0.0,0.0
5979670,9.028,2.257,-1001.01,-717.5,630.0,1277.5,0.0,0.0,0.0
5980170,7.442,1.22,-999.18,-901.25,831.25,1268.75,0.0,0.0,0.0
